velocity_rank,video_id,title,channel,views,likes,comments,age_hours,views_per_hour,engagement_rate,velocity_score
20,ZPmRTeh6izw,Franklin Found A Giant Mysterious Footprint In Rain In GTA 5 ! (GTA 5 Mods),Flight Gamer,150153,4707,271,6.2860458913888895,23886.717118258897,0.0331528507588926,24678.629886000417
21,2I_SZq_vkHg,I Become Spiderman to Troll Friends in Roblox..,Karry Mini,83824,1577,146,3.6429903358333333,23009.668506525224,0.020554972322962398,23482.63160583739
22,Wr-nh-9KdxU,Carry vs FRIENDS STATUE Chunk Battle In Minecraft!,Karry Kraft,695277,9196,434,30.38132366916667,22885.013423744313,0.013850594798907486,23201.98447164415
23,ZYIWPnkXz5o,Dhanda Nyoliwala - Panamera (Official Music Video),Dhanda Nyoliwala,1611793,100046,5117,80.28937922472221,20074.79713460914,0.06524597141196171,21384.59677455478
24,ODYYEFhFlNA,Saving All Famous Ben 10 Aliens From Scary Entities In Minecraft!!!,MrAlpha,106024,1446,78,5.286323669166667,20056.282330649185,0.01437410397645816,20344.573418251137
25,GZ0Nu2CVZb4,I Became a GIRL & PRANKED Girl Streamers,SATVIK,956602,26444,2461,50.260768113611114,19032.77717200153,0.030216328211732778,19607.8778138115
26,IjHYUAJnsgQ,VERITY vs SECURITY HOUSE in Minecraft!,Junkeyy,361997,7699,622,23.465768113611112,15426.599216670296,0.02298637834015199,15781.200862766573
27,7vcOx7lXK7s,I am cooked... | Last Pirates,ProBoii,680756,25557,2065,46.71437922472222,14572.72923878928,0.04057547785109496,15164.024691247778
28,HvJ7DePAIMs,NO MORE POOPY BUSINESS | Shift At Midnight - Part 4,BeastBoyShub,388848,27880,2223,28.780768113611114,13510.688751079735,0.07741585400979303,14556.630259005078
29,yNydA8kTUOk,Toxic English Trailer REVIEW | Deeksha Sharma,Filmi Indian,248692,11329,1139,20.886879224722225,11906.613588574879,0.050134302671577695,12503.543358018012
30,WebDvdCLdd8,#Video | Case लिहS तू लड़ | #Raushan Rohi & #Srishti Bharti | #Maghi #Rangdari Song 2026,Raushan Rohi Entertainment,410380,25230,1751,36.79104589138889,11154.344489457726,0.06574638140260247,11887.702276557631
31,OblfDuD_oN4,Family Drama - Trailer l Gibin Gopinath l Anjali Nair l Annie N Rose l Aneesh JL l Chattambees,Chattambees,508726,29493,1869,48.16549033583333,10562.043414339058,0.06164811706105055,11213.17350315013
32,LxtmRwUX0rs,"Aap Ke Pyaar Mein Hum Savarne Lage | Raaz | Dino Morea, Malini Sharma, Alka Yagnik",Bollywood Music Masala,741808,2124,25,73.03160144694444,10157.356340308439,0.002896976036925997,10186.78195822483
33,7KpwlP7SFnw,Allah Kare Dil Na Lage (Official Full Video) | Andaaz | Akshay & Priyanka | Sonu Nigam | Alka Yagnik,Shree Krishna International,933120,2917,33,97.29076811361111,9591.043611767469,0.003161436899862826,9621.365090949905
34,ajbZlebglTc,315 | Sanjay Yaduvanshi | OFFICAIL VIDEO,Sanjay Sultanpuriya ,214835,14138,1197,24.932712558055556,8616.5915361098,0.07138036167291177,9231.646956345068
35,NPI5-d55lYM,Maadhia ra Sasura Ghara || Trailer || Maadhia Comedy,utkal cartoonworld,297336,9668,97,36.29049033583333,8193.220792787404,0.03284163370732101,8462.299548947334
36,A14bHx6l5CA,Keralanaadu | I-POPSTAR | EP 11 | Priya Jerson | Vijay Narain,Saregama Tamil,452762,17806,371,56.32271255805556,8038.710840379148,0.0401469204571055,8361.440325065521
37,NP5ebSjn-_I,"Mahakavya Shri Ramayan Katha | Teaser | Dev Sharma, Anjali Arora | Mahobiya Films | 25th Sept 2026",M SERIES,390249,6145,3747,51.409657002500005,7590.96680962144,0.025347918892809462,7783.382020629732
38,2oOWoN8IAF0,TREAT ME SPECIAL | RAWME HOODA | MC SQUARE | OFFICIAL MUSIC VIDEO | DESI HIP HOP HARYANVI SONG,RAWme Hooda,180469,20021,1066,27.29076811361111,6612.822301252567,0.11684555242174556,7385.501176109262
39,87uSIcSLymQ,Khalifa Trailer Reaction | Prithviraj Sukumaran | Vysakh | Malayalam,LifeofShazzam,304791,15283,710,82.66104589138888,3687.2386105599862,0.052472021811667664,3880.715475358113
40,OFYTBT0xcq8,Kitni Bechain Hoke - (Lyrical) | Alka Yagnik | Udit Narayan | Aftab Shivdasani | Romantic Song,Y2K Bollywood Hits,350629,345,3,97.38687922472222,3600.3720705631854,0.0009925020463224662,3603.9454472107413
41,psuDntKA8Jw,Toxic English Trailer ನೋಡಿದ್ಮೇಲೆ ರಾಯನ ಅಪ್ಪ ಯಾರು ಅಂತ ಗೊತ್ತಾಯ್ತಾ? | Yash | Toxic | Allu Arvind,Vishwavani TV Special,13581,738,85,5.624379224722222,2414.666482712275,0.06059936676238863,2560.993742507003
42,Ol6pxDh51F4,Things you MISSED in Avengers Doomsday Special Look Trailer (தமிழ்),Mokka Commentry,135098,9497,441,57.28493478027778,2358.351292851815,0.07356141467675317,2531.834950258744
43,J6Q8LEsgqQY,Aaj Kehna Zaroori Hai | Andaaz | Akshay Kumar | Lara Dutta | Udit Narayan | Alka Yagnik,DilSe Beats,249059,244,2,104.78799033583333,2376.789546223712,0.0009877177696850947,2379.137143493319
44,_NX9_GeYWJY,VIDEO | गोली चोली पर चलतौ - Rajeev Yadav - Khushi Kakkar - Goli Choli Par Chaltau - Magahi Song 2026,Bhojpuri Ganna Hits - Apex,184778,582,3,80.7782681136111,2287.471671713954,0.0031659613157410515,2294.713718537454
45,cro9lotnsAk,Pucho Zara Pucho | Raja Hindustani | Aamir Khan | Karisma Kapoor | Alka Yagnik | Kumar Sanu,HindiHits24,204071,571,7,97.14993478027777,2100.577838385004,0.0028323475653081525,2106.527404911294
46,LJVUBqU_8gc,शिव गौरा भजन | गौरा रूठ गई पीहर चली गई | Gora Ruth Gayi Pihar Chali Gayi | Shiv Gaura Bhajan #2026,Editor Ramsingh jaitpur 🎵,118599,747,4,61.03826811361111,1943.0269512111738,0.006332262497997454,1955.3307079069268
47,DOjv2xcgsqk,"ଦଣ୍ଡକାଳୀ | Dandakali | Official Teaser | New Odia Movie | Sidhant Mohapatra, Suryamayee",Amara Muzik Odia,45301,2845,232,27.2896570025,1660.0062065950474,0.06792344539855633,1772.7595475299704
48,B9WysQte-Bs,"MANJAR | Official Teaser | Siddharth Menon, Onkar Bhojane, Tejas Raut | In Cinemas 18th Sept 2026",Rajshri Marathi,45068,914,76,32.1046570025,1403.7838808397967,0.021966805715807225,1434.6205286171864
49,PZEtSHXpDiY,"Film Talk | Jailer 2 - 1st Song SAMBAVAM, Dharman, TOXIC, HI Trailer | Today's Update",Trendswood Tv,28711,2158,35,23.009379224722224,1247.7955063277727,0.07638187454285814,1343.1044661472429
